performance_id,artist_id,Artist Name,Event ID on Songkick ,Event Start Date,Event Type,Venue ID on Songkick,Venue Name,Venue address ,Venue ZIP Code,Venue Latitude,Venue Longitude,City,Country,Average Ticket Price,Genres,Fans Marked ‘Interested’,Fans Marked ‘Going’,Event Start time
79508641,746698,I See Stars,41997727,2025-06-06,FestivalInstance,66455,Zeppelinfeld Nürnberg,Hermann-Böhm Str.,90471,49.429609,11.1197342,Nuremberg,Germany,213,"metal,rock,trance",545,87,
79594483,10184813,Jennifer Loveless,42360965,2025-02-08,Concert,4536221,The Archives,"High Cross Centre, Fountayne Road, London",N15 4BE,51.5853996,-0.0607839,London,UK,20,,23,1,
